query_id,query_text
115684808_caption_01,Three men are setting up a sledge on a snowy plain.
115684808_caption_02,Three people in the snow put their gear in order.
115684808_caption_03,Three men loading items on a sled.
115684808_caption_04,Three people and a sled.
116021030_caption_00,The man in the hooded sweatshirt is controlling the large machine.
116021030_caption_01,A man with his jacket hood up sits on a machine.
116021030_caption_02,A worker operates machinery on a cold day.
116021030_caption_03,A black man operates an orange crane.
116021030_caption_04,A man operates an orange crane.
1163297375_caption_00,Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back.
1163297375_caption_01,"A girl wearing a striped shirt, plaid shorts, and a baseball hat is on a bike, pulling a man in a red cart with a black top."
1163297375_caption_02,A blond girl in plaid shorts is driving a bearded man around the city in a bicycle taxi.
1163297375_caption_03,A woman with a baseball cap on riding a bike while pulling a man sitting in a cart.
1163297375_caption_04,A girl driving a Rickshaw at night with a man as her passenger.
116450583_caption_00,A man in an orange safety vest kneels on a train track while repairing a passenger train.
116450583_caption_01,A man in a safety vest is kneeling down and working on a train.
116450583_caption_02,A man in an orange vest works on fixing a train.
116450583_caption_03,A man in an orange vest is working on a train.
116450583_caption_04,A repairman is working on a train.
116569042_caption_00,Construction workers standing on top of a piece of machinery.
116569042_caption_01,Two Rubbish men standing on theyre truck loading trash.
116569042_caption_02,A blurry picture of a man in a blue shirt and hard hat.
116569042_caption_03,A man in a white hat stands on top of a truck.
116569042_caption_04,Two people are on top of the bed of a truck.
118187095_caption_00,Twin toddlers dressed alike being pushed in plastic car strollers in a parade
118187095_caption_01,Twin boys being pushed in small car shaped strollers in a parade
118187095_caption_02,Two kids being pushed in car shaped strollers in a parade.
118187095_caption_03,Parents are pushing little children in red car carts.
118187095_caption_04,Two children ride in toy cars.
1193116658_caption_00,A young girl rides a unicycle next to another riding a scooter on a busy street.
1193116658_caption_01,The girl on the unicycle reaches out for the child on the scooter.
1193116658_caption_02,A girl rides a unicycle as another rides a scooter next to her.
1193116658_caption_03,A girl rides a unicycle with a child who rides a scooter.
1193116658_caption_04,There is a girl on a unicycle and a child on a scooter.
1196886054_caption_00,"A group of people, a wedding party including a bride and groom, are walking down a path lined by benches and surrounded by grass and trees."
1196886054_caption_01,"Several members of a wedding party, including the bride, are walking past a lamp and some park benches."
1196886054_caption_02,A bride and a groom walk down a sidewalk with other guests surrounding them.
1196886054_caption_03,The people are following the Bride and the Groom at a wedding.
1196886054_caption_04,A wedding day with the bride in a bright white beautiful dress
1202620814_caption_00,People are boarding a train that's painted yellow on the front.
1202620814_caption_01,Commuters standing on a platform are entering a train.
1202620814_caption_02,A large group of people getting on a train.
1202620814_caption_03,Commuters rush to get on the late train.
1202620814_caption_04,A group of people boards a bus.
12142386_caption_00,"A clown in a red and green shirt, yellow tie, juggles four small balls."
12142386_caption_01,A male performer is juggling with 4 plastic balls.
12142386_caption_02,A man wearing a hat is juggling three balls.
12142386_caption_03,A male with a hat is juggling four balls.
12142386_caption_04,A juggler in plaid juggling four balls.
121551810_caption_00,"Two men, in the woods, cook something in a can over an open fire."
121551810_caption_01,Two men are preparing dinner over a fire with tin cans.
121551810_caption_02,A man and a woman can prepare meals at camp together.
121551810_caption_03,Two man are outdoors cooking over an open fire.
121551810_caption_04,Two men cook food on an outdoor grill.
1218091024_caption_00,Two policemen looking at a building from a distance by their car with binoculars.
1218091024_caption_01,Two police officers look at a house from a distance with binoculars.
1218091024_caption_02,Two men are taking pictures while standing beside an automobile.
1218091024_caption_03,Two men take photographs on either side of their car.
1218091024_caption_04,Two men standing next to a minivan with cameras.
122189647_caption_00,Three men with yellow vests doing work on the side of a street with three blue and white trucks nearby.
122189647_caption_01,Three men wearing bright yellow vests work on a road.
122189647_caption_02,Several man are digging a hole in the street.
122189647_caption_03,City workers fixing concrete on a road.
122189647_caption_04,Three men work on the street.
122190424_caption_00,Three men with reflective safety jackets are watching two men in reflective jackets put rocks into a hole in the road.
122190424_caption_01,A construction crew working at several spots on the road.
122190424_caption_02,Three men wearing safety vests are repairing a street.
122190424_caption_03,Workers in yellow vests do roadwork.
122190424_caption_04,Workers fixing a paved road.
122202217_caption_00,The journey is temporarily delayed by mechanical malfunctions.
122202217_caption_01,A man takes his bike apart on the side of the road.
122202217_caption_02,A man with red-hair working on his bicycle.
122202217_caption_03,A man fixing his bicycle by some trees.
122202217_caption_04,A man with a ponytail is fixing a bike.
1223671563_caption_00,Construction workers working on a highway at night as people look to see what they are doing.
1223671563_caption_01,"Several people are behind a fence, watching a nighttime construction crew working on a road."
1223671563_caption_02,People are watching while a construction crew builds a bridge.
1223671563_caption_03,Construction workers work on a road into the night.
1223671563_caption_04,A crowd watching construction work taking place.
1231348815_caption_00,"A rickshaw puller in an Asian country smiling and making a ""thumbs up"" sign at the photographer."
1231348815_caption_01,"A man pulling a fancy rickshaw along a waterway smiles and gives the ""thumbs up"" sign."
1231348815_caption_02,Displaying a big smile and a thumbs up this man is holding up a carriage.
1231348815_caption_03,An Asian man posing in front of a cart hes pulling for a picture.
1231348815_caption_04,Man giving a thumbs up in front of a rickshaw.
1237177353_caption_00,"A lady with an orange jacket is holding a walkie talkie, while another lady wearing a lime green jacket is standing near her looking at something in her hand and holding a cane."
1237177353_caption_01,Two woman in uniforms are standing in the middle of a street in front of an ambulance.
1237177353_caption_02,Two women wearing emergency gear are standing in front of an ambulance.
1237177353_caption_03,Two emergency responders are at the scene of an incident.
1237177353_caption_04,Two women talk next to an ambulance.
1243756_caption_00,A man in strange outfit sits in a lawn chair near a Ben and Jerry's stand.
1243756_caption_01,A man is sitting in a chair in front of a Ben and Jerry's machine.
1243756_caption_02,A very unusually dressed man sitting beside an ice cream cooler.
1243756_caption_03,One person wearing a coat and hat sitting in a chair.
1243756_caption_04,Man sitting in a chair wearing a hat and scarf.
124488273_caption_00,A group of people with bikes looking in the direction another young person is pointing.
124488273_caption_01,A series of men taking a break from riding their motorcycles.
124488273_caption_02,A group of standing moped riders look off into the distance.
124488273_caption_03,Men and women on bikes stop to look at something.
124488273_caption_04,People on their motorcycles on a sidewalk.
124881487_caption_00,Blurry picture of mountain biker descending rocky trail.
124881487_caption_01,The mountain biker in blue rides down a rocky path.
124881487_caption_02,A man rides his dirt bike down a rocky trail.
124881487_caption_03,A man on bicycle riding down a rocky hill.
124881487_caption_04,A person rides a bike down a rocky hill.
1250181412_caption_00,Six people ride mountain bikes through a jungle environment.
1250181412_caption_01,"Men, surrounded by nature, are riding mountain bikes."
1250181412_caption_02,There are six men mountain biking in a forest terrain.
1250181412_caption_03,Six People riding bikes on a trail in the forest.
1250181412_caption_04,A group of people is bike riding in the woods.
125093729_caption_00,"A boy wearing a bike helmet, jeans, and a striped shirt and a girl wearing a green shirt and jeans ride bikes with training wheels down a sidewalk."
125093729_caption_01,One boy in a striped shirt and one girl in a green shirt each riding on bicycles with training wheels.
125093729_caption_02,A little boy and girl riding their bikes down the sidewalk with training wheels on.
125093729_caption_03,"Two young children, a boy and a girl, are riding bicycles with training wheels."
125093729_caption_04,Two young children ride bicycles.
1251558317_caption_00,A woman and a young boy sit on a police motorcycle and smile for the camera.
1251558317_caption_01,A woman and a child are sitting on a motorized police vehicle.
1251558317_caption_02,An adult and a child sitting on a police motorcycle.
1251558317_caption_03,A woman and little boy sits on a police motorcycle.
1251558317_caption_04,A woman and boy sit on a police motorcycle.
1253095131_caption_00,Two blond women sit outside as people walk by wearing casual clothing and some wearing bookbags.
1253095131_caption_01,Two females in a sitting down in a highly populated area.
1253095131_caption_02,2 blond girls are sitting on a ledge in a crowded plaza.
1253095131_caption_03,A large number of people walk or rest near a fountain.
1253095131_caption_04,Two women have a seat in a busy metropolitan area.
125319704_caption_00,"Two people, in bike gear, stand with bicycles near a rocky waterbed."
125319704_caption_01,Two bicyclists pose by a stream for a picture.
125319704_caption_02,Two off road bikers stopped in a creek.
125319704_caption_03,Person standing beside bike in stream.
125319704_caption_04,Two biker walk across the ground.
125382282_caption_00,The blue SUV was completely totaled in the accident and was towed away promptly.
125382282_caption_01,"A man dressed in black is attaching a tow-bar to a dark blue, wrecked SUV."
125382282_caption_02,A wrecked sport utility vehicle is loaded to be towed by another truck.
125382282_caption_03,A truck has just crashed into the back of another truck.
125382282_caption_04,A damaged black color car on the street.
1255846277_caption_00,A big green tractor pulls a red attachment along a weeded area.
1255846277_caption_01,A green tractor with a red machine on the back is in a field.
1255846277_caption_02,A green John Deere tractor in a field pulling a red trailer.
1255846277_caption_03,A colorful tractor in the field.
1255846277_caption_04,A tractor is driving in a field.
1257692349_caption_00,"A varied crowd mills about (or rough-houses) on a public street, with lots of bicycles on display."
1257692349_caption_01,"A crowd of people are in a city square, seemingly oblivious to a human sculpture in their midst."
1257692349_caption_02,A group of onlookers glance at a person doing a strange trick on her head.
1257692349_caption_03,Group of people gathered out on the streets near a display of bicycles.
1257692349_caption_04,A large crown walks by three friends climbing on top of each other.
1259627071_caption_00,There are about a dozen of men in work clothes that are getting directions for a task.
1259627071_caption_01,A man in a blue coat addresses a group of at least sixteen men and women in a field.
1259627071_caption_02,A man with a clipboard talks to a group of men in a field.
1259627071_caption_03,Farmers are standing around and look angry.
1259627071_caption_04,People standing outside in a field.
1262808368_caption_00,"A woman with a blue shirt and blue shorts has her hand on a white taxi, as a boy in a green and white shirt walks beside her."
1262808368_caption_01,A woman in blue wearing flip-flops touches a passing car while walking beside a young man in a green striped shirt.
1262808368_caption_02,"A woman in a dark blue, and white sweater, walks with her son, down a street."
1262808368_caption_03,The women with shorts has her hand placed on a white car.
1262808368_caption_04,A woman wearing blue standing next to a white car.
127685074_caption_00,A woman is reading a newspaper and a boy is resting his head on a seat in a rail car.
127685074_caption_01,A woman reading a newspaper and a man in a green jacket riding a train.
127685074_caption_02,A woman in a blue shirt reads a newspaper while riding on a train.
127685074_caption_03,A man and woman are sitting on a train looking to the right.
127685074_caption_04,Two passengers on a train gaze out window to their left.
1283466_caption_00,"There is a man wearing construction gear, standing next to a bulldozer that is picking up rubble and debris."
1283466_caption_01,A backhoe is on top of a pile of rubble from a demolished building.
1283466_caption_02,A yellow backhoe is tearing down a brick building.
1283466_caption_03,Something gets knocked down by a bulldozer.
1283466_caption_04,A house is being demolished.
128395402_caption_00,A woman on a blue bike with a pink helmet rides by a public fountain as the sun rises over an urban area.
128395402_caption_01,A woman is riding her bike past a water fountain display.
128395402_caption_02,A woman in a light blue jacket is riding a bike.
128395402_caption_03,A woman is riding a bicycle on the pavement.
128395402_caption_04,A girl rides a bike down a city sidewalk.
128395625_caption_00,Two people with helmets are riding bikes in front of a building.
128395625_caption_01,Two people with helmets ride bikes past a wooden-paneled door.
128395625_caption_02,A man and a woman are riding bikes in front of a building.
128395625_caption_03,Two bicyclists with backpacks ride past a brown door.
128395625_caption_04,Two people are riding bicycles next to a building.
128395941_caption_00,Two bicycle riders are riding along side railroad tracks.
128395941_caption_01,Two bicyclists riding beside some railroad tracks.
128395941_caption_02,Two people are riding bikes beside train tracks.
128395941_caption_03,Two people riding bikes next to a railroad.
128395941_caption_04,Two people biking beside a railroad.
128396110_caption_00,A couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves.
128396110_caption_01,A man wearing a black helmet and a girl wearing a pink helmet are cycling together.
128396110_caption_02,Two cyclist a man and a woman enjoy a leisurely bike ride on the cobblestone path.
128396110_caption_03,"A couple, wearing helmets and backpacks, ride their bikes down a brick road."
128396110_caption_04,A man and a woman ride bikes next to each other on a road made of bricks.
128396150_caption_00,A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes.
128396150_caption_01,Two bikers are sitting and talking on a bench in front if their bikes.
128396150_caption_02,Two people rest on a park bench next to their bikes.
128396150_caption_03,Women in bike helmets take break from long ride.
128396150_caption_04,Two bikers take a break on a bench.
128396207_caption_00,"A bike rider with khaki green shorts, a blue shirt, backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side."
128396207_caption_01,"A man wearing a black helmet, blue jacket, and khaki shirts rides his bike on the street next to a red car."
128396207_caption_02,A hurried bicycler moves along a car in a busy street on an allowed bike path.
